#fish
#id,name,level,base-hp,min-dmg,max-dmg,ac,weight,value
1,Diatom,1,1,0,0,0,0.1,0.01
2,Heliomonad,1,1,0,0,0,0.1,0.01
3,Sticholonche,1,1,0,0,0,0.1,0.01
4,Algae Bloom,2,2,0,1,0,1.0,0.06
5,Slime Mat,3,4,0,1,1,1.0,0.04
6,Bladder Wrack,3,4,0,1,1,1.0,0.05
7,Driftwood,4,4,0,3,2,3.0,0.08
8,Kelp,4,6,0,3,1,2.0,0.10
9,Northern Krill,5,6,0,3,1,0.5,0.04
10,Cocktail Shrimp,6,8,1,3,1,1.0,0.10
11,Sea Anemone,6,16,1,4,2,2.0,0.12
12,Tube Sponge,6,24,1,4,4,4.0,0.25
13,Sea Cucumber,6,16,1,4,4,4.0,0.28
14,Brittle Star,7,12,1,6,2,4.0,0.23
15,Sea Star,7,16,1,6,4,6.0,0.25
16,Sea Urchin,7,16,1,6,4,6.0,0.30
17,Demosponge,8,24,1,12,6,12.0,0.45
18,Zyzzyzus,8,18,1,12,6,8.0,0.50
19,Arctic Coral,8,32,1,12,8,24.0,0.75
20,Medical Waste Pile,9,32,2,16,12,32.0,0.05
21,Seapony,9,32,1,12,8,8.0,0.10
22,Moon Snail,9,36,1,14,10,12.0,0.35
23,Arctic Cod,10,24,1,16,6,1.0,0.12
24,Seahorse,11,32,2,16,6,4.0,0.35
25,Pompeii Worm,11,48,2,16,12,12.0,0.32
26,Blue Crab,12,48,2,18,16,8.0,0.75
27,Sea Nettle,13,32,3,20,8,8.0,0.42
28,American Lobster,14,48,4,24,20,20.0,1.75
29,Sea Turtle,14,56,3,24,24,40.0,1.00
30,Sooty Tern,15,32,2,16,16,4.0,1.02
31,Northern Fulmar,15,40,2,16,16,6.0,1.08
32,Seagull,16,40,2,24,16,12.0,1.25
33,King Penquin,16,48,2,24,20,24.0,1.50
34,Sea Otter,17,64,4,28,24,64.0,1.79
35,Nose Dolphin,17,64,3,32,24,64.0,2.50
36,Hairy Otter,18,92,4,32,28,32.0,2.80
37,Narwal,19,128,4,40,32,64.0,4.02
38,Sawfish,20,128,6,40,32,80.0,4.51
39,Giant Squid,21,160,6,48,32,250.0,6.72
40,Nurse Shark,21,128,8,48,40,200.0,6.81
41,Anvilhead Shark,22,192,6,54,44,260.0,6.58
42,Octosquid,23,192,8,56,48,320.0,12.42
43,Colossal Squid,24,256,16,64,52,480.0,19.76
44,Sperm Whale,25,384,32,128,64,650.0,32.50
#Ghost Shark
#Ghost Frigate
#Tentacruel
#Chowder Fist
#Kraken
#Leviathan
#Cthulhu
