#weapons
#id,name,price,min-dmg,max-dmg,weight,hit-bonus
1,Naked Fists,0,0,1,0,0
2,Fillet Knife,10,0,2,0,0
3,Wooden Oar,25,0,4,0,0
4,Hand Net,35,0,6,0,0
5,Frog Gig,40,1,8,0,0
6,Trident,50,1,10,0,0
7,Spin Cast Rod,60,1,12,0,0
8,Composite Surf Rod,80,2,14,0,0
9,Lobster Trap,95,2,18,0,0
10,Boat Anchor,120,2,22,0,0
11,Grappling Hook,140,3,24,0,0
12,Fishing Crossbow,200,3,28,0,0
13,Speargun,250,3,30,0,0
14,Gill Net,420,4,32,0,0
15,Seine,600,4,34,0,0
16,Trawl,1200,4,36,0,0
17,Harpoon,2500,5,40,0,0
18,Gyrojet Rifle,4500,5,44,0,0
19,Explosive Harpoon,11500,6,48,0,0
20,Depth Charge Thrower,22000,6,56,0,0
21,Anti-Submarine Mortar,38000,7,64,0,0
